x,y,z,joint_names,joint_positions
0.55,-0.10250000000000004,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,3.2105722025;4.5920746020;-1.5199607211;-3.0721138631;-1.5018168129;1.6580628671
0.55,-0.08250000000000005,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,3.2558247595;4.6019518270;-1.5310770791;3.2123106279;-1.4565638554;1.3962627360
0.55,-0.06250000000000006,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,5.8477802092;-1.4681603140;1.5397754779;-0.0716151637;1.1353912288;-4.6251225179
0.55,-0.042500000000000066,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.9365851094;-1.6677456323;-1.5460776555;3.2138232879;4.9173965246;-4.8869219069
0.55,-0.022500000000000075,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.3499877495;-1.4773830065;1.5499787308;-0.0725957243;1.2208085773;-4.7123889797
0.55,-0.0025000000000000855,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.8466884724;-1.6628465946;-1.5514789104;-3.0688597925;-1.2758921448;-4.8869219397
0.55,0.017499999999999932,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,3.4806533771;4.6195197930;-1.5505779326;3.2142434536;-1.2317355951;1.3962633815
0.55,0.037499999999999895,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.7591336180;-1.6666594802;-1.5472774633;3.2139369131;5.0948480165;-4.8869218240
0.55,0.05749999999999986,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.7166486143;4.6113759174;-1.5415775949;3.2133868190;-1.1458523122;-4.7996551101
0.55,0.09749999999999989,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.6349543868;-1.6884500529;-1.5229673743;-3.0717678826;5.2190272475;1.4835298693
0.55,0.13749999999999982,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,3.7248759259;4.5699706111;-1.4947120187;3.2079267099;-0.9875130396;-4.5378560366
0.55,0.17749999999999985,0.45749999999999996,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.0964502059;4.8872147887;1.4567707362;-0.0608002178;1.6672465319;1.3962634091
0.55,0.24249999999999997,0.7399999999999995,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2302693610;4.9677499980;1.1448441246;3.3121838380;-1.8010656878;-1.7453292519
0.55,0.24249999999999997,0.7599999999999995,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-6.0529159958;-1.3051084789;1.0795592778;3.3671418583;4.4821196735;-1.3962633915
0.55,0.24249999999999997,0.7799999999999994,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2302693656;4.9917519691;1.0090712807;3.4239547107;4.4821196148;4.8869219055
0.55,0.24249999999999997,0.8199999999999994,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-6.0529159365;5.0313162245;0.8477088724;-2.7374324629;-1.8010656973;4.6251225164
0.55,0.24249999999999997,0.8399999999999993,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2302693890;5.0591208115;0.7527188239;3.6129383260;4.4821195857;4.8869219144
0.55,0.24249999999999997,0.8599999999999992,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2302688879;-1.1884203682;0.6429209817;3.6870920369;-1.8010652154;-1.6580628012
0.55,0.24249999999999997,0.8799999999999992,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-6.0529159398;5.1427482879;0.5088896232;-2.5100452591;4.4821196126;-1.3962634072
0.55,0.24249999999999997,0.8999999999999992,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2302693657;-1.0663751215;0.3219600183;3.8860077564;4.4821196147;-1.7453292524
0.55,0.10250000000000004,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.0689795573;-1.1086781410;0.2382654233;-2.2711799360;-1.5018167695;-1.7453292527
0.55,0.08250000000000005,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.1142306685;5.1494394755;0.2814538076;-2.2893005991;-1.4565656384;-1.5707964143
0.55,0.06250000000000006,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.1596351071;-1.1514852108;0.3112339900;-2.3013412322;-1.4111612185;-1.5707963062
0.55,-0.057499999999999885,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.9706041020;4.2965991656;-0.3170746354;5.4452534194;-4.8833775347;4.6251225881
0.55,-0.07749999999999985,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,3.2671671958;4.2803365267;-0.2898950661;-0.8488488002;-4.8379635264;-1.7453292845
0.55,-0.09749999999999986,0.9425,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.0613245715;-2.0258154418;-0.2506261267;-0.8651511160;1.4905281586;-1.7453288832
0.55,-0.24249999999999997,0.9025,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.9113232878;4.1946096845;-0.2901511330;5.5203194100;1.8010656926;4.7123889823
0.55,-0.24249999999999997,0.8624999999999999,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.9113232684;4.3248175872;-0.6277595528;5.7277198040;1.8010657408;-1.7453297208
0.55,-0.24249999999999997,0.8424999999999999,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,2.9113232868;-1.9214960816;-0.7399276877;-0.4801688609;-4.4821196115;-1.7453291500
