x,y,z
0.55,0.285,0.7775000000000003
0.55,0.285,0.7975000000000003
0.55,0.285,0.8175000000000003
0.55,0.285,0.8375000000000004
0.55,0.285,0.8775000000000004
0.55,-0.285,0.8649999999999999
0.55,-0.285,0.8249999999999998
0.55,-0.285,0.7849999999999998
0.55,-0.285,0.6849999999999997
0.55,-0.285,0.6649999999999997
0.55,-0.285,0.6449999999999997
0.55,-0.285,0.5849999999999996
0.55,-0.285,0.5649999999999996
0.55,-0.285,0.5449999999999996
0.55,-0.285,0.5249999999999996
0.55,-0.285,0.5049999999999996
0.55,-0.285,0.48499999999999954
0.55,-0.285,0.4649999999999995
0.55,-0.24249999999999997,0.45749999999999996
0.55,-0.22249999999999998,0.45749999999999996
0.55,-0.1625,0.45749999999999996
0.55,-0.14250000000000002,0.45749999999999996
0.55,-0.12250000000000003,0.45749999999999996
0.55,-0.10250000000000004,0.45749999999999996
0.55,-0.08250000000000005,0.45749999999999996
0.55,-0.06250000000000006,0.45749999999999996
0.55,-0.042500000000000066,0.45749999999999996
0.55,-0.022500000000000075,0.45749999999999996
0.55,-0.0025000000000000855,0.45749999999999996
0.55,0.017499999999999932,0.45749999999999996
0.55,0.037499999999999895,0.45749999999999996
0.55,0.05749999999999986,0.45749999999999996
0.55,0.09749999999999989,0.45749999999999996
0.55,0.13749999999999982,0.45749999999999996
0.55,0.17749999999999985,0.45749999999999996
0.55,0.24249999999999997,0.7399999999999995
0.55,0.24249999999999997,0.7599999999999995
0.55,0.24249999999999997,0.7799999999999994
0.55,0.24249999999999997,0.8199999999999994
0.55,0.24249999999999997,0.8399999999999993
0.55,0.24249999999999997,0.8599999999999992
0.55,0.24249999999999997,0.8799999999999992
0.55,0.24249999999999997,0.8999999999999992
0.55,0.10250000000000004,0.9425
0.55,0.08250000000000005,0.9425
0.55,0.06250000000000006,0.9425
0.55,-0.057499999999999885,0.9425
0.55,-0.07749999999999985,0.9425
0.55,-0.09749999999999986,0.9425
0.55,-0.24249999999999997,0.9025
0.55,-0.24249999999999997,0.8624999999999999
0.55,-0.24249999999999997,0.8424999999999999
0.55,-0.24249999999999997,0.8224999999999999
0.55,-0.24249999999999997,0.7824999999999999
0.55,-0.24249999999999997,0.7424999999999998
0.55,-0.24249999999999997,0.7024999999999998
0.55,-0.24249999999999997,0.6824999999999998
0.55,-0.24249999999999997,0.6624999999999998
0.55,-0.24249999999999997,0.6424999999999997
0.55,-0.24249999999999997,0.6224999999999997
0.55,-0.24249999999999997,0.6024999999999997
0.55,-0.24249999999999997,0.5824999999999997
0.55,-0.24249999999999997,0.5624999999999997
0.55,-0.24249999999999997,0.5424999999999996
0.55,-0.24249999999999997,0.5224999999999996
0.55,-0.24249999999999997,0.5024999999999996
0.55,-0.19999999999999996,0.49999999999999994
0.55,-0.17999999999999997,0.49999999999999994
0.55,-0.15999999999999998,0.49999999999999994
0.55,-0.12,0.49999999999999994
0.55,-0.1,0.49999999999999994
0.55,-0.08000000000000002,0.49999999999999994
0.55,-0.060000000000000026,0.49999999999999994
0.55,-0.040000000000000036,0.49999999999999994
0.55,-0.020000000000000046,0.49999999999999994
0.55,-5.551115123125783e-17,0.49999999999999994
0.55,0.039999999999999925,0.49999999999999994
0.55,0.05999999999999994,0.49999999999999994
0.55,0.09999999999999987,0.49999999999999994
0.55,0.11999999999999988,0.49999999999999994
0.55,0.1399999999999999,0.49999999999999994
0.55,0.15999999999999986,0.49999999999999994
0.55,0.17999999999999983,0.49999999999999994
0.55,0.19999999999999996,0.7225000000000001
0.55,0.19999999999999996,0.7425000000000002
0.55,0.19999999999999996,0.7625000000000002
0.55,0.19999999999999996,0.7825000000000002
0.55,0.19999999999999996,0.8625000000000003
0.55,0.17999999999999997,0.9
0.55,0.060000000000000026,0.9
0.55,0.040000000000000036,0.9
0.55,5.551115123125783e-17,0.9
0.55,-0.019999999999999934,0.9
0.55,-0.039999999999999925,0.9
0.55,-0.059999999999999915,0.9
0.55,-0.11999999999999986,0.9
0.55,-0.1599999999999999,0.9
0.55,-0.17999999999999985,0.9
0.55,-0.19999999999999996,0.88
0.55,-0.19999999999999996,0.86
0.55,-0.19999999999999996,0.84
0.55,-0.19999999999999996,0.82
0.55,-0.19999999999999996,0.7999999999999999
0.55,-0.19999999999999996,0.7799999999999999
0.55,-0.19999999999999996,0.7599999999999999
0.55,-0.19999999999999996,0.7399999999999999
0.55,-0.19999999999999996,0.7199999999999999
0.55,-0.19999999999999996,0.6999999999999998
0.55,-0.19999999999999996,0.6799999999999998
0.55,-0.19999999999999996,0.6599999999999998
0.55,-0.19999999999999996,0.6399999999999998
0.55,-0.19999999999999996,0.6199999999999998
0.55,-0.19999999999999996,0.5999999999999998
0.55,-0.19999999999999996,0.5799999999999997
0.55,-0.19999999999999996,0.5599999999999997
0.55,-0.19999999999999996,0.5399999999999997
0.55,-0.15749999999999995,0.5425
0.55,-0.13749999999999996,0.5425
0.55,-0.11749999999999997,0.5425
0.55,-0.09749999999999998,0.5425
0.55,-0.07749999999999999,0.5425
0.55,-0.057499999999999996,0.5425
0.55,-0.037500000000000006,0.5425
0.55,-0.017500000000000016,0.5425
0.55,0.0024999999999999745,0.5425
0.55,0.022499999999999964,0.5425
0.55,0.062499999999999944,0.5425
0.55,0.08249999999999993,0.5425
0.55,0.10249999999999995,0.5425
0.55,0.14249999999999988,0.5425
0.55,0.1624999999999999,0.5425
0.55,0.15749999999999995,0.585
0.55,0.15749999999999995,0.645
0.55,0.15749999999999995,0.665
0.55,0.15749999999999995,0.7050000000000001
0.55,0.15749999999999995,0.7250000000000001
0.55,0.15749999999999995,0.7450000000000001
0.55,0.15749999999999995,0.7650000000000001
0.55,0.15749999999999995,0.7850000000000001
0.55,0.15749999999999995,0.8250000000000002
0.55,0.15749999999999995,0.8450000000000002
0.55,0.13749999999999996,0.8575
0.55,0.11749999999999995,0.8575
0.55,0.09749999999999995,0.8575
0.55,0.07749999999999994,0.8575
0.55,0.05749999999999994,0.8575
0.55,0.037499999999999936,0.8575
0.55,0.017499999999999932,0.8575
0.55,-0.022500000000000075,0.8575
0.55,-0.04250000000000009,0.8575
0.55,-0.06250000000000008,0.8575
0.55,-0.08250000000000007,0.8575
0.55,-0.10250000000000009,0.8575
0.55,-0.12250000000000011,0.8575
0.55,-0.1625000000000001,0.8575
0.55,-0.15749999999999995,0.8375
0.55,-0.15749999999999995,0.8175
0.55,-0.15749999999999995,0.7775
0.55,-0.15749999999999995,0.7575
0.55,-0.15749999999999995,0.7374999999999999
0.55,-0.15749999999999995,0.7174999999999999
0.55,-0.15749999999999995,0.6974999999999999
0.55,-0.15749999999999995,0.6774999999999999
0.55,-0.15749999999999995,0.6374999999999998
0.55,-0.15749999999999995,0.6174999999999998
0.55,-0.15749999999999995,0.5974999999999998
0.55,-0.15749999999999995,0.5774999999999998
0.55,-0.11499999999999994,0.585
0.55,-0.09499999999999993,0.585
0.55,-0.07499999999999993,0.585
0.55,-0.054999999999999924,0.585
0.55,-0.03499999999999992,0.585
0.55,-0.014999999999999916,0.585
0.55,0.005000000000000088,0.585
0.55,0.025000000000000078,0.585
0.55,0.045000000000000095,0.585
0.55,0.06500000000000011,0.585
0.55,0.0850000000000001,0.585
0.55,0.1050000000000001,0.585
0.55,0.11499999999999994,0.6275
0.55,0.11499999999999994,0.6475
0.55,0.11499999999999994,0.6675
0.55,0.11499999999999994,0.6875
0.55,0.11499999999999994,0.7075
0.55,0.11499999999999994,0.7275
