surface,time_s,waypoint_index,x,y,z,force_n,speed_m_s,mode,event
mirror,0.0,0,0.55,0.285,0.7775000000000003,1.2000000000000002,0.0,position,approach
mirror,0.05,0,0.55,0.285,0.7775000000000003,2.4000000000000004,0.0,position,approach
mirror,0.1,0,0.55,0.285,0.7775000000000003,2.4000000000000004,0.0,force,switch_to_force_control
mirror,0.15000000000000002,0,0.55,0.285,0.7775000000000003,3.2100000000000004,0.144,force,track
mirror,0.2,1,0.55,0.285,0.7975000000000003,3.83775,0.14605738684473268,force,track
mirror,0.25,1,0.55,0.285,0.7975000000000003,4.32425625,0.14786530612342613,force,track
mirror,0.3,1,0.55,0.285,0.7975000000000003,4.70129859375,0.1492045393535641,force,track
mirror,0.35,2,0.55,0.285,0.8175000000000003,4.99350641015625,0.14786530612342613,force,track
mirror,0.39999999999999997,2,0.55,0.285,0.8175000000000003,5.219967467871094,0.1492045393535641,force,track
mirror,0.44999999999999996,2,0.55,0.285,0.8175000000000003,5.395474787600098,0.14991269837993076,force,track
mirror,0.49999999999999994,3,0.55,0.285,0.8375000000000004,5.531492960390076,0.1492045393535641,force,track
mirror,0.5499999999999999,3,0.55,0.285,0.8375000000000004,5.636907044302309,0.14991269837993076,force,track
mirror,0.6,3,0.55,0.285,0.8375000000000004,5.71860295933429,0.14990391568124362,force,track
mirror,0.65,4,0.55,0.285,0.8775000000000004,5.781917293484074,0.14991269837993076,force,track
mirror,0.7000000000000001,4,0.55,0.285,0.8775000000000004,5.830985902450157,0.14990391568124362,force,track
mirror,0.7500000000000001,4,0.55,0.285,0.8775000000000004,5.869014074398872,0.14917925619989322,force,track
mirror,0.8000000000000002,4,0.55,0.285,0.8775000000000004,5.898485907659126,0.14782658821280703,force,track
mirror,0.8500000000000002,4,0.55,0.285,0.8775000000000004,5.921326578435822,0.14600992890093542,force,track
mirror,0.9000000000000002,4,0.55,0.285,0.8775000000000004,5.939028098287762,0.1439495565157971,force,track
mirror,0.9500000000000003,5,0.55,-0.285,0.8649999999999999,5.952746776173016,0.14990391568124362,force,track
mirror,1.0000000000000002,5,0.55,-0.285,0.8649999999999999,5.963378751534087,0.14917925619989322,force,track
mirror,1.0500000000000003,5,0.55,-0.285,0.8649999999999999,5.971618532438917,0.14782658821280703,force,track
mirror,1.1000000000000003,5,0.55,-0.285,0.8649999999999999,5.978004362640161,0.14600992890093542,force,track
mirror,1.1500000000000004,5,0.55,-0.285,0.8649999999999999,5.982953381046125,0.1439495565157971,force,track
mirror,1.2000000000000004,5,0.55,-0.285,0.8649999999999999,5.986788870310747,0.14189530063386227,force,track
mirror,1.2500000000000004,5,0.55,-0.285,0.8649999999999999,5.989761374490829,0.140096249177609,force,track
mirror,1.3000000000000005,5,0.55,-0.285,0.8649999999999999,5.992065065230393,0.13877054536551847,force,track
mirror,1.3500000000000005,5,0.55,-0.285,0.8649999999999999,5.993850425553554,0.13807893684898057,force,track
mirror,1.4000000000000006,5,0.55,-0.285,0.8649999999999999,5.995234079804004,0.138105284324254,force,track
mirror,1.4500000000000006,5,0.55,-0.285,0.8649999999999999,5.996306411848103,0.13884639303944044,force,track
mirror,1.5000000000000007,5,0.55,-0.285,0.8649999999999999,5.99713746918228,0.14021240017276607,force,track
mirror,1.5500000000000007,5,0.55,-0.285,0.8649999999999999,5.997781538616267,0.14203767111078153,force,track
mirror,1.6000000000000008,5,0.55,-0.285,0.8649999999999999,5.998280692427607,0.14410088340290608,force,track
mirror,1.6500000000000008,5,0.55,-0.285,0.8649999999999999,5.9986675366313955,0.1461518631209568,force,track
mirror,1.7000000000000008,5,0.55,-0.285,0.8649999999999999,5.998967340889331,0.14794191959231273,force,track
mirror,1.7500000000000009,5,0.55,-0.285,0.8649999999999999,5.999199689189232,0.14925400028155728,force,track
mirror,1.800000000000001,5,0.55,-0.285,0.8649999999999999,5.999379759121655,0.149929009403262,force,track
mirror,1.850000000000001,5,0.55,-0.285,0.8649999999999999,5.999519313319283,0.1498850990137224,force,track
mirror,1.900000000000001,5,0.55,-0.285,0.8649999999999999,5.999627467822444,0.14912759344852966,force,track
mirror,1.950000000000001,5,0.55,-0.285,0.8649999999999999,5.999711287562394,0.14774834372252513,force,track
mirror,2.000000000000001,5,0.55,-0.285,0.8649999999999999,5.999776247860855,0.1459145901740961,force,track
mirror,2.0500000000000007,5,0.55,-0.285,0.8649999999999999,5.9998265920921625,0.14384868380913804,force,track
mirror,2.1000000000000005,5,0.55,-0.285,0.8649999999999999,5.999865608871426,0.14180112522448843,force,track
mirror,2.1500000000000004,5,0.55,-0.285,0.8649999999999999,5.999895846875355,0.140020190264694,force,track
mirror,2.2,5,0.55,-0.285,0.8649999999999999,5.9999192813284,0.13872182544016995,force,track
mirror,2.25,5,0.55,-0.285,0.8649999999999999,5.99993744302951,0.1380634634250069,force,track
mirror,2.3,5,0.55,-0.285,0.8649999999999999,5.999951518347871,0.1381249336250921,force,track
mirror,2.3499999999999996,5,0.55,-0.285,0.8649999999999999,5.9999624267196,0.13889878249748178,force,track
mirror,2.3999999999999995,5,0.55,-0.285,0.8649999999999999,5.99997088070769,0.14029117732657778,force,track
mirror,2.4499999999999993,5,0.55,-0.285,0.8649999999999999,5.99997743254846,0.14213328387011323,force,track
mirror,2.499999999999999,5,0.55,-0.285,0.8649999999999999,5.999982510225056,0.1442017382833268,force,track
mirror,2.549999999999999,5,0.55,-0.285,0.8649999999999999,5.999986445424419,0.14624573100687452,force,track
mirror,2.5999999999999988,5,0.55,-0.285,0.8649999999999999,5.999989495203924,0.1480174185731796,force,track
mirror,2.6499999999999986,5,0.55,-0.285,0.8649999999999999,5.999991858783042,0.1493019757605878,force,track
mirror,2.6999999999999984,5,0.55,-0.285,0.8649999999999999,5.999993690556857,0.14994364413416922,force,track
mirror,2.7499999999999982,5,0.55,-0.285,0.8649999999999999,5.9999951101815645,0.14986461846844007,force,track
mirror,2.799999999999998,5,0.55,-0.285,0.8649999999999999,5.999996210390712,0.1490744809868576,force,track
