surface,strategy,waypoints,coverage_percent,path_length_m,estimated_time_s
countertop,raster,283,78.61111111111111,6.091212465956701,1161.5627555643498
mirror,spiral,241,66.94444444444446,7.408709959234969,627.2662565941596
