x,y,z,reachable,message,yaw,qx,qy,qz,qw,joint_names,joint_positions
0.2,0.06000000000000033,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.1577276911;-1.2588879016;-1.7994713870;1.4875640678;4.7123889357;2.5546613406
0.2,0.08000000000000035,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-2.0938342636;-1.2792939960;-1.7856571233;1.4941547976;4.7123889875;2.6185547137
0.2,0.10000000000000037,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.1750322641;4.4456361614;1.7683160369;1.6400294031;-4.7123901442;1.3957640957
0.2,0.12000000000000038,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-0.0679363195;-1.8092012640;1.7476612857;1.6323363060;1.5707963122;1.5028600070
0.2,0.1400000000000004,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.9532628597;-1.3636692208;-1.7238837426;1.5167566518;-1.5707963036;2.7591261175
0.2,0.16000000000000042,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,4.3637103487;-1.3973129367;-1.6971447817;1.5236613458;4.7123889417;2.7929140068
0.2,0.18000000000000044,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.2145134669;-1.7087271925;1.6675723053;1.6119512145;1.5707963266;-4.4978755133
0.2,0.20000000000000046,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,4.4177402154;-2.8133092249;1.9421131481;-3.8411929600;1.5707963557;5.9885365401
0.2,0.22000000000000047,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-5.9151069958;4.6499419047;1.6002737656;-4.6794193438;-4.7123889819;1.9388746384
0.2,0.2400000000000005,0.5,1,success,1.5707963267948966,0.7071067811865476,-0.7071067811865475,0.0,-0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.8247125736;-3.0308703805;1.5626341841;-0.1025601396;-1.5707962489;-1.8247125722
0.2,0.2600000000000005,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,4.4751735012;-1.1121560287;-1.8861072865;4.5690596423;-4.7123889806;6.0459698282
0.2,0.2800000000000005,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.7932412834;3.3729988785;1.8631287068;-3.6653312627;1.5707963329;-0.2224449568
0.2,0.30000000000000054,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,0.6040993767;4.3397935787;1.8379924089;4.8177883436;4.7123888117;-0.9666968818
0.22,-0.3,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,4.9786779386;6.0860293750;-1.8195481281;-5.8372775741;4.7123889806;-2.8753036956
0.22,-0.27999999999999997,0.5,1,success,1.5707963267948966,0.7071067811865476,-0.7071067811865475,0.0,-0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.2885159368;-1.9550702695;1.8449683165;4.8224906130;-1.5707965245;4.9946693662
0.22,-0.25999999999999995,0.5,1,success,0.0,1.0,0.0,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.2706726122;-0.2361265255;-1.8682737592;-5.7495813654;4.7123890176;-2.8414689326
0.22,-0.23999999999999994,0.5,1,success,-1.5707963267948966,0.7071067811865476,0.7071067811865475,0.0,0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-1.2506757416;4.2471788615;1.8894706361;-1.4242605174;-1.5707963266;1.8909169117
0.22,-0.21999999999999992,0.5,1,success,1.5707963267948966,0.7071067811865476,-0.7071067811865475,0.0,-0.0,shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint,-3.4842223738;4.7387072698;-1.5658822590;1.5395626811;4.7123895991;-3.4842212334
